.	X start	X inc	X end	Y start	Y inc	Y end
1.000	4.500	0.001	4.600
position	G'	G	T	R	GT	GR	G'T	G'R
4.5000	34232.0000	30768.0000	18956.0000	19420.0000	28.0000	11.0000	9.0000	47.0000
4.5010	34362.0000	30737.0000	19150.0000	19468.0000	27.0000	9.0000	12.0000	55.0000
4.5020	34397.0000	30931.0000	18961.0000	19439.0000	28.0000	18.0000	9.0000	42.0000
4.5030	34637.0000	30827.0000	18840.0000	19609.0000	28.0000	8.0000	15.0000	51.0000
4.5040	34784.0000	30352.0000	18751.0000	19728.0000	33.0000	12.0000	8.0000	51.0000
4.5050	34835.0000	30538.0000	18986.0000	19667.0000	22.0000	10.0000	14.0000	56.0000
4.5060	34875.0000	30667.0000	18863.0000	19491.0000	26.0000	10.0000	11.0000	53.0000
4.5070	34669.0000	30949.0000	19347.0000	19630.0000	33.0000	12.0000	9.0000	59.0000
4.5080	34745.0000	30715.0000	19002.0000	19384.0000	29.0000	10.0000	7.0000	45.0000
4.5090	34432.0000	30744.0000	19001.0000	19229.0000	30.0000	13.0000	8.0000	46.0000
4.5100	34526.0000	30770.0000	19035.0000	19430.0000	25.0000	18.0000	10.0000	43.0000
4.5110	34805.0000	30851.0000	19240.0000	19759.0000	33.0000	19.0000	3.0000	56.0000
4.5120	34222.0000	30738.0000	18818.0000	19138.0000	22.0000	10.0000	10.0000	51.0000
4.5130	34450.0000	30666.0000	19195.0000	19237.0000	24.0000	12.0000	12.0000	54.0000
4.5140	34752.0000	30415.0000	19263.0000	19092.0000	23.0000	11.0000	10.0000	52.0000
4.5150	34269.0000	30600.0000	18857.0000	19280.0000	36.0000	8.0000	4.0000	54.0000
4.5160	34654.0000	30878.0000	18862.0000	19449.0000	28.0000	9.0000	15.0000	60.0000
4.5170	34658.0000	30820.0000	18731.0000	19175.0000	27.0000	7.0000	7.0000	53.0000
4.5180	34555.0000	30308.0000	18638.0000	19175.0000	27.0000	9.0000	7.0000	52.0000
4.5190	53093.0000	44258.0000	32658.0000	28204.0000	26.0000	14.0000	19.0000	65.0000
4.5200	34276.0000	30487.0000	19025.0000	19399.0000	23.0000	9.0000	8.0000	60.0000
4.5210	34033.0000	30518.0000	18984.0000	19118.0000	19.0000	8.0000	11.0000	53.0000
4.5220	34110.0000	30451.0000	18907.0000	19011.0000	22.0000	7.0000	9.0000	64.0000
4.5230	34247.0000	30681.0000	18510.0000	19025.0000	21.0000	8.0000	12.0000	47.0000
4.5240	34392.0000	30338.0000	18507.0000	18963.0000	33.0000	12.0000	8.0000	50.0000
4.5250	34289.0000	30393.0000	18578.0000	19426.0000	28.0000	13.0000	9.0000	65.0000
4.5260	33990.0000	30772.0000	18864.0000	19179.0000	29.0000	8.0000	20.0000	68.0000
4.5270	34110.0000	30384.0000	18689.0000	19317.0000	30.0000	10.0000	6.0000	54.0000
4.5280	33745.0000	30440.0000	18931.0000	19039.0000	38.0000	10.0000	14.0000	52.0000
4.5290	45535.0000	39653.0000	28315.0000	25228.0000	25.0000	8.0000	11.0000	59.0000
4.5300	33626.0000	30248.0000	18882.0000	18982.0000	31.0000	8.0000	1.0000	55.0000
4.5310	44090.0000	38016.0000	27778.0000	25212.0000	31.0000	10.0000	10.0000	50.0000
