.	X start	X inc	X end	Y start	Y inc	Y end
1.000	4.500	0.001	4.600
position	G'	G	T	R	GT	GR	G'T	G'R
4.5320	34148.0000	30580.0000	18441.0000	19092.0000	35.0000	10.0000	10.0000	47.0000
4.5330	33747.0000	30549.0000	18475.0000	18912.0000	23.0000	8.0000	8.0000	45.0000
4.5340	33469.0000	30333.0000	18581.0000	18947.0000	20.0000	5.0000	8.0000	62.0000
4.5350	33691.0000	30085.0000	18579.0000	18957.0000	20.0000	13.0000	18.0000	42.0000
4.5360	33590.0000	30143.0000	18729.0000	19020.0000	33.0000	5.0000	6.0000	62.0000
4.5370	33583.0000	30542.0000	18740.0000	18943.0000	25.0000	4.0000	13.0000	64.0000
4.5380	33671.0000	30056.0000	18718.0000	18926.0000	26.0000	10.0000	11.0000	45.0000
4.5390	33250.0000	30303.0000	18293.0000	19030.0000	32.0000	10.0000	11.0000	42.0000
4.5400	33890.0000	30394.0000	18271.0000	18974.0000	19.0000	10.0000	8.0000	53.0000
4.5410	33338.0000	30290.0000	18345.0000	18890.0000	24.0000	8.0000	6.0000	42.0000
4.5420	33461.0000	29930.0000	18580.0000	18671.0000	21.0000	4.0000	11.0000	45.0000
4.5430	33431.0000	30172.0000	18736.0000	18770.0000	33.0000	9.0000	11.0000	41.0000
4.5440	33415.0000	29945.0000	18473.0000	18688.0000	36.0000	3.0000	12.0000	49.0000
4.5450	33404.0000	29824.0000	18286.0000	19373.0000	14.0000	12.0000	19.0000	53.0000
4.5460	33522.0000	30199.0000	18334.0000	19373.0000	27.0000	7.0000	8.0000	62.0000
4.5470	33453.0000	30155.0000	18439.0000	19115.0000	19.0000	13.0000	11.0000	57.0000
4.5480	33659.0000	30144.0000	18499.0000	19214.0000	27.0000	13.0000	7.0000	64.0000
4.5490	33706.0000	30020.0000	18709.0000	19115.0000	26.0000	9.0000	15.0000	46.0000
4.5500	33215.0000	30100.0000	18467.0000	19463.0000	17.0000	9.0000	18.0000	57.0000
4.5510	33481.0000	30200.0000	18650.0000	19435.0000	25.0000	9.0000	15.0000	45.0000
4.5520	33788.0000	30089.0000	18802.0000	19296.0000	25.0000	6.0000	14.0000	40.0000
4.5530	33726.0000	30412.0000	18552.0000	19668.0000	36.0000	8.0000	7.0000	66.0000
4.5540	33795.0000	30224.0000	18494.0000	19539.0000	21.0000	8.0000	6.0000	50.0000
4.5550	33540.0000	30057.0000	18576.0000	19684.0000	24.0000	10.0000	7.0000	71.0000
4.5560	33382.0000	30113.0000	18459.0000	19790.0000	23.0000	13.0000	6.0000	59.0000
4.5570	35957.0000	31477.0000	20638.0000	20770.0000	27.0000	10.0000	16.0000	51.0000
4.5580	39102.0000	33663.0000	22853.0000	21971.0000	30.0000	7.0000	7.0000	50.0000
4.5590	33901.0000	30287.0000	18758.0000	19631.0000	31.0000	6.0000	9.0000	46.0000
4.5600	33827.0000	30433.0000	18936.0000	19836.0000	22.0000	11.0000	4.0000	57.0000
4.5610	33720.0000	30243.0000	18675.0000	19882.0000	34.0000	9.0000	9.0000	64.0000
4.5620	33934.0000	30284.0000	18616.0000	19807.0000	25.0000	12.0000	9.0000	60.0000
4.5630	46372.0000	38563.0000	29173.0000	26602.0000	29.0000	9.0000	13.0000	60.0000
4.5640	39062.0000	33648.0000	28061.0000	25023.0000	28.0000	7.0000	16.0000	52.0000
4.5650	33948.0000	30532.0000	18747.0000	19165.0000	30.0000	9.0000	9.0000	53.0000
4.5660	34358.0000	30233.0000	18826.0000	18814.0000	29.0000	8.0000	10.0000	56.0000
4.5670	44379.0000	37223.0000	26447.0000	24340.0000	29.0000	11.0000	12.0000	61.0000
4.5680	33896.0000	30395.0000	18977.0000	19290.0000	36.0000	7.0000	8.0000	63.0000
4.5690	34062.0000	30265.0000	18705.0000	19039.0000	30.0000	7.0000	15.0000	51.0000
4.5700	34202.0000	30410.0000	18667.0000	18935.0000	29.0000	11.0000	4.0000	51.0000
4.5710	34268.0000	30499.0000	19079.0000	19306.0000	35.0000	8.0000	8.0000	56.0000
4.5720	34032.0000	30108.0000	18589.0000	18981.0000	20.0000	12.0000	10.0000	46.0000
4.5730	34016.0000	30460.0000	19101.0000	18990.0000	29.0000	7.0000	9.0000	51.0000
4.5740	34133.0000	30648.0000	18890.0000	19096.0000	31.0000	5.0000	7.0000	59.0000
4.5750	34092.0000	30416.0000	18650.0000	18958.0000	21.0000	15.0000	8.0000	54.0000
4.5760	34422.0000	30569.0000	18996.0000	18996.0000	27.0000	11.0000	13.0000	50.0000
4.5770	34024.0000	30329.0000	18472.0000	18769.0000	31.0000	13.0000	15.0000	48.0000
4.5780	34221.0000	30876.0000	18753.0000	18983.0000	38.0000	9.0000	9.0000	49.0000
4.5790	33870.0000	30792.0000	19002.0000	19004.0000	30.0000	14.0000	7.0000	45.0000
4.5800	34267.0000	30481.0000	19109.0000	18667.0000	35.0000	7.0000	13.0000	56.0000
4.5810	33924.0000	30328.0000	19031.0000	18841.0000	27.0000	7.0000	9.0000	68.0000
4.5820	34117.0000	30533.0000	18993.0000	19181.0000	38.0000	6.0000	6.0000	56.0000
4.5830	34114.0000	30404.0000	18763.0000	19061.0000	26.0000	9.0000	11.0000	57.0000
4.5840	34272.0000	30392.0000	18611.0000	18940.0000	34.0000	12.0000	15.0000	53.0000
4.5850	34097.0000	30530.0000	18934.0000	19576.0000	29.0000	9.0000	9.0000	47.0000
4.5860	34461.0000	30469.0000	19095.0000	19290.0000	26.0000	10.0000	20.0000	66.0000
4.5870	34304.0000	30521.0000	19027.0000	19359.0000	31.0000	9.0000	8.0000	48.0000
4.5880	34499.0000	30441.0000	19278.0000	19409.0000	26.0000	12.0000	18.0000	74.0000
4.5890	34276.0000	30984.0000	19184.0000	19866.0000	35.0000	3.0000	6.0000	52.0000
4.5900	34197.0000	30665.0000	18894.0000	19555.0000	31.0000	9.0000	14.0000	60.0000
4.5910	34301.0000	30718.0000	18688.0000	19686.0000	31.0000	13.0000	14.0000	51.0000
4.5920	35691.0000	31534.0000	19888.0000	20201.0000	33.0000	5.0000	11.0000	48.0000
4.5930	49085.0000	40717.0000	32934.0000	28868.0000	46.0000	11.0000	12.0000	62.0000
4.5940	34439.0000	30842.0000	19089.0000	19428.0000	26.0000	11.0000	9.0000	59.0000
4.5950	38668.0000	33700.0000	23431.0000	22436.0000	19.0000	15.0000	10.0000	50.0000
4.5960	47342.0000	39876.0000	29301.0000	26001.0000	34.0000	11.0000	14.0000	65.0000
4.5970	51523.0000	43062.0000	31650.0000	27088.0000	29.0000	10.0000	9.0000	75.0000
4.5980	38059.0000	33184.0000	21882.0000	20885.0000	30.0000	10.0000	16.0000	59.0000
4.5990	33965.0000	30374.0000	18814.0000	18821.0000	28.0000	11.0000	12.0000	52.0000
4.6000	33762.0000	30246.0000	18925.0000	18734.0000	16.0000	10.0000	17.0000	48.0000
