.	X start	X inc	X end	Y start	Y inc	Y end
1.000	4.500	0.001	4.600
position	G'	G	T	R	GT	GR	G'T	G'R
4.5630	29760.0000	33665.0000	18585.0000	18655.0000	77.0000	12.0000	5.0000	60.0000
4.5640	29804.0000	33499.0000	18717.0000	18506.0000	58.0000	23.0000	7.0000	45.0000
4.5650	29842.0000	33490.0000	18848.0000	18621.0000	34.0000	33.0000	15.0000	27.0000
4.5660	29676.0000	33784.0000	18924.0000	18789.0000	16.0000	37.0000	12.0000	29.0000
4.5670	30100.0000	33645.0000	18642.0000	18742.0000	19.0000	26.0000	4.0000	40.0000
4.5680	29888.0000	33765.0000	18646.0000	18960.0000	43.0000	23.0000	3.0000	34.0000
4.5690	30037.0000	33637.0000	18444.0000	19130.0000	86.0000	16.0000	0.0000	53.0000
4.5700	30265.0000	33801.0000	18771.0000	18861.0000	88.0000	15.0000	4.0000	49.0000
4.5710	30176.0000	33802.0000	18513.0000	18821.0000	74.0000	14.0000	13.0000	35.0000
4.5720	29935.0000	34137.0000	18675.0000	18850.0000	44.0000	15.0000	16.0000	33.0000
4.5730	30141.0000	33946.0000	18853.0000	18705.0000	11.0000	32.0000	16.0000	30.0000
4.5740	30481.0000	33745.0000	18769.0000	18779.0000	20.0000	29.0000	10.0000	28.0000
4.5750	30264.0000	34103.0000	18808.0000	19561.0000	36.0000	34.0000	4.0000	44.0000
4.5760	30008.0000	33688.0000	18705.0000	19274.0000	59.0000	31.0000	4.0000	49.0000
4.5770	30009.0000	34005.0000	18607.0000	19790.0000	98.0000	22.0000	2.0000	48.0000
4.5780	30291.0000	34155.0000	18767.0000	19517.0000	85.0000	16.0000	9.0000	42.0000
4.5790	30481.0000	33906.0000	18789.0000	19441.0000	41.0000	24.0000	6.0000	41.0000
4.5800	30445.0000	34383.0000	18786.0000	19178.0000	19.0000	24.0000	10.0000	26.0000
4.5810	30537.0000	34154.0000	19031.0000	19410.0000	12.0000	31.0000	9.0000	28.0000
4.5820	30107.0000	34123.0000	18920.0000	19407.0000	30.0000	35.0000	3.0000	26.0000
4.5830	30193.0000	33846.0000	18408.0000	19643.0000	61.0000	30.0000	4.0000	43.0000
4.5840	30304.0000	34087.0000	18598.0000	19349.0000	87.0000	17.0000	5.0000	55.0000
4.5850	30629.0000	34014.0000	18730.0000	19275.0000	81.0000	16.0000	12.0000	52.0000
4.5860	30090.0000	33854.0000	18623.0000	19411.0000	49.0000	10.0000	11.0000	36.0000
4.5870	30357.0000	34021.0000	18742.0000	19466.0000	17.0000	18.0000	16.0000	37.0000
4.5880	30322.0000	34146.0000	18795.0000	19081.0000	16.0000	31.0000	4.0000	25.0000
4.5890	30003.0000	33895.0000	18560.0000	19341.0000	27.0000	47.0000	6.0000	32.0000
4.5900	30310.0000	33827.0000	18829.0000	19309.0000	49.0000	23.0000	2.0000	52.0000
4.5910	30673.0000	34094.0000	18508.0000	19401.0000	71.0000	27.0000	7.0000	51.0000
4.5920	30446.0000	34241.0000	18691.0000	19640.0000	82.0000	21.0000	13.0000	58.0000
4.5930	30364.0000	34305.0000	18832.0000	19190.0000	75.0000	14.0000	7.0000	35.0000
4.5940	30351.0000	33831.0000	18748.0000	18818.0000	42.0000	21.0000	12.0000	30.0000
4.5950	30523.0000	34306.0000	18806.0000	18772.0000	15.0000	32.0000	5.0000	30.0000
4.5960	30660.0000	33872.0000	18944.0000	18731.0000	12.0000	39.0000	7.0000	36.0000
4.5970	30461.0000	34161.0000	18734.0000	19148.0000	40.0000	33.0000	7.0000	31.0000
4.5980	30620.0000	34244.0000	18733.0000	18785.0000	73.0000	32.0000	5.0000	44.0000
4.5990	30619.0000	34158.0000	18621.0000	18950.0000	80.0000	28.0000	9.0000	45.0000
