.	X start	X inc	X end	Y start	Y inc	Y end
1.000	4.300	0.005	4.700
position	G'	G	T	R	GT	GR	G'T	G'R
4.6150	34284.0000	30319.0000	18865.0000	18856.0000	31.0000	8.0000	13.0000	45.0000
4.6200	34080.0000	30274.0000	18459.0000	19081.0000	17.0000	9.0000	9.0000	53.0000
4.6250	34139.0000	30741.0000	18692.0000	18716.0000	33.0000	10.0000	5.0000	63.0000
4.6300	34387.0000	30388.0000	18661.0000	18620.0000	23.0000	7.0000	4.0000	63.0000
4.6350	33906.0000	30476.0000	18583.0000	18850.0000	22.0000	8.0000	17.0000	55.0000
4.6400	34201.0000	30844.0000	18501.0000	18952.0000	31.0000	2.0000	13.0000	51.0000
4.6450	34012.0000	30149.0000	18742.0000	18815.0000	25.0000	7.0000	10.0000	48.0000
4.6500	33747.0000	30053.0000	18668.0000	18647.0000	28.0000	8.0000	9.0000	54.0000
4.6550	34135.0000	30352.0000	18430.0000	18721.0000	28.0000	6.0000	12.0000	73.0000
4.6600	34348.0000	30264.0000	18704.0000	18885.0000	24.0000	8.0000	11.0000	55.0000
4.6650	34082.0000	30335.0000	18648.0000	18428.0000	15.0000	11.0000	8.0000	44.0000
4.6700	34420.0000	30318.0000	18484.0000	18892.0000	20.0000	11.0000	6.0000	56.0000
4.6750	34100.0000	30372.0000	18846.0000	18962.0000	21.0000	13.0000	14.0000	43.0000
4.6800	33963.0000	30498.0000	18976.0000	18386.0000	21.0000	7.0000	11.0000	43.0000
4.6850	34066.0000	30416.0000	18312.0000	18481.0000	33.0000	4.0000	11.0000	47.0000
4.6900	34032.0000	30387.0000	18424.0000	18602.0000	20.0000	6.0000	7.0000	55.0000
4.6950	34056.0000	30305.0000	19345.0000	18097.0000	29.0000	10.0000	8.0000	43.0000

