.	X start	X inc	X end	Y start	Y inc	Y end
1.000	4.300	0.005	4.700
position	G'	G	T	R	GT	GR	G'T	G'R
4.3000	30469.0000	34447.0000	19869.0000	21254.0000	31.0000	30.0000	8.0000	47.0000
4.3050	30417.0000	34513.0000	19649.0000	21710.0000	39.0000	25.0000	2.0000	57.0000
4.3100	30559.0000	34217.0000	19876.0000	21519.0000	39.0000	25.0000	4.0000	26.0000
4.3150	58828.0000	53935.0000	41474.0000	35260.0000	67.0000	33.0000	19.0000	37.0000
4.3200	34841.0000	37640.0000	23263.0000	23334.0000	48.0000	27.0000	11.0000	40.0000
4.3250	30565.0000	34284.0000	20111.0000	21314.0000	51.0000	21.0000	14.0000	44.0000
4.3300	30496.0000	34119.0000	20025.0000	21095.0000	51.0000	30.0000	9.0000	38.0000
4.3350	30494.0000	34238.0000	19727.0000	21272.0000	46.0000	23.0000	9.0000	34.0000
4.3400	30931.0000	34143.0000	20189.0000	21144.0000	47.0000	21.0000	5.0000	41.0000
4.3450	30800.0000	34161.0000	19855.0000	21053.0000	46.0000	30.0000	9.0000	34.0000
4.3500	30453.0000	34145.0000	19869.0000	21170.0000	49.0000	25.0000	5.0000	43.0000
4.3550	30440.0000	34138.0000	20352.0000	20989.0000	48.0000	27.0000	1.0000	41.0000
4.3600	30676.0000	34330.0000	20010.0000	20954.0000	40.0000	22.0000	6.0000	28.0000
4.3650	30743.0000	34438.0000	20230.0000	21138.0000	47.0000	39.0000	11.0000	38.0000
4.3700	30454.0000	34487.0000	20145.0000	20991.0000	48.0000	34.0000	10.0000	44.0000
4.3750	30554.0000	34324.0000	19875.0000	21037.0000	42.0000	31.0000	7.0000	51.0000
4.3800	30397.0000	33870.0000	20489.0000	20709.0000	53.0000	21.0000	7.0000	36.0000
4.3850	47078.0000	45319.0000	33165.0000	28898.0000	60.0000	46.0000	11.0000	44.0000
4.3900	30813.0000	34080.0000	20464.0000	21011.0000	59.0000	29.0000	9.0000	49.0000
4.3950	30872.0000	34207.0000	20287.0000	21028.0000	58.0000	25.0000	7.0000	29.0000
4.4000	30890.0000	33900.0000	20141.0000	20876.0000	55.0000	27.0000	13.0000	46.0000
4.4050	30594.0000	34089.0000	20219.0000	20714.0000	46.0000	24.0000	11.0000	51.0000
4.4100	30809.0000	34105.0000	20033.0000	20799.0000	50.0000	22.0000	11.0000	33.0000
4.4150	30747.0000	34153.0000	20374.0000	20590.0000	47.0000	22.0000	9.0000	29.0000
4.4200	30810.0000	34248.0000	19968.0000	20879.0000	43.0000	24.0000	9.0000	46.0000
4.4250	30863.0000	33907.0000	20027.0000	20807.0000	42.0000	24.0000	9.0000	43.0000
4.4300	30639.0000	34186.0000	20038.0000	20640.0000	51.0000	38.0000	2.0000	31.0000
4.4350	30820.0000	34236.0000	20106.0000	20755.0000	25.0000	21.0000	8.0000	59.0000
4.4400	30788.0000	34073.0000	20143.0000	20715.0000	69.0000	22.0000	12.0000	48.0000
4.4450	30610.0000	33960.0000	20146.0000	20523.0000	54.0000	31.0000	4.0000	27.0000
4.4500	30670.0000	34178.0000	20092.0000	20631.0000	38.0000	20.0000	6.0000	36.0000
4.4550	30597.0000	34091.0000	19812.0000	20291.0000	34.0000	30.0000	11.0000	48.0000
4.4600	30661.0000	34165.0000	20154.0000	20705.0000	90.0000	32.0000	9.0000	27.0000
4.4650	30418.0000	34026.0000	19805.0000	20436.0000	42.0000	21.0000	1.0000	35.0000
4.4700	30748.0000	33759.0000	20194.0000	20248.0000	24.0000	25.0000	12.0000	47.0000
4.4750	30535.0000	34073.0000	20337.0000	20244.0000	61.0000	28.0000	5.0000	37.0000
4.4800	30415.0000	34004.0000	19261.0000	19713.0000	48.0000	17.0000	11.0000	26.0000
4.4850	29792.0000	33976.0000	18721.0000	19435.0000	24.0000	31.0000	6.0000	40.0000
4.4900	29885.0000	33885.0000	18628.0000	19347.0000	75.0000	30.0000	9.0000	42.0000
4.4950	29968.0000	33686.0000	18433.0000	19712.0000	57.0000	20.0000	14.0000	30.0000
4.5000	29673.0000	34010.0000	18142.0000	19220.0000	17.0000	21.0000	6.0000	44.0000
4.5050	29619.0000	34550.0000	18515.0000	19325.0000	59.0000	22.0000	8.0000	54.0000
4.5100	29581.0000	34086.0000	18183.0000	19070.0000	65.0000	15.0000	18.0000	26.0000
4.5150	29383.0000	34337.0000	18679.0000	19133.0000	13.0000	27.0000	5.0000	26.0000
4.5200	29599.0000	33860.0000	18623.0000	19301.0000	65.0000	24.0000	3.0000	46.0000
4.5250	29726.0000	33979.0000	18312.0000	19492.0000	84.0000	20.0000	8.0000	41.0000
4.5300	29406.0000	34066.0000	18669.0000	19277.0000	19.0000	29.0000	2.0000	29.0000
4.5350	29991.0000	33859.0000	18449.0000	18969.0000	42.0000	30.0000	3.0000	38.0000
4.5400	29377.0000	33982.0000	18578.0000	19386.0000	98.0000	19.0000	3.0000	48.0000
4.5450	29511.0000	34488.0000	18364.0000	19273.0000	25.0000	26.0000	14.0000	13.0000
4.5500	29327.0000	34252.0000	18489.0000	18966.0000	35.0000	35.0000	6.0000	47.0000
4.5550	29435.0000	33960.0000	18108.0000	18894.0000	94.0000	14.0000	2.0000	55.0000
