.	X start	X inc	X end	Y start	Y inc	Y end
1.000	4.300	0.005	4.700
position	G'	G	T	R	GT	GR	G'T	G'R
4.5600	29732.0000	34079.0000	18383.0000	19161.0000	45.0000	32.0000	6.0000	26.0000
4.5650	29398.0000	34071.0000	18827.0000	18788.0000	21.0000	34.0000	9.0000	17.0000
4.5700	29134.0000	33990.0000	18413.0000	19348.0000	65.0000	17.0000	5.0000	31.0000
4.5750	29502.0000	34181.0000	18468.0000	19142.0000	49.0000	25.0000	3.0000	43.0000
4.5800	29211.0000	34434.0000	18567.0000	18670.0000	19.0000	43.0000	19.0000	27.0000
4.5850	29055.0000	34194.0000	18564.0000	19087.0000	68.0000	13.0000	7.0000	41.0000
4.5900	29342.0000	34359.0000	18324.0000	19068.0000	55.0000	37.0000	4.0000	43.0000
4.5950	29418.0000	34056.0000	18520.0000	18694.0000	18.0000	24.0000	4.0000	14.0000
4.6000	29048.0000	34099.0000	18288.0000	18926.0000	67.0000	18.0000	2.0000	39.0000
4.6050	29191.0000	33514.0000	18160.0000	18627.0000	50.0000	27.0000	7.0000	50.0000
4.6100	29378.0000	33972.0000	18214.0000	18905.0000	15.0000	34.0000	5.0000	34.0000
4.6150	29544.0000	33904.0000	18550.0000	18822.0000	55.0000	13.0000	12.0000	33.0000
4.6200	29514.0000	34434.0000	18494.0000	18684.0000	69.0000	34.0000	10.0000	46.0000
4.6250	29151.0000	33943.0000	18572.0000	18781.0000	19.0000	26.0000	5.0000	36.0000
4.6300	29409.0000	34084.0000	18414.0000	18934.0000	42.0000	11.0000	4.0000	18.0000
4.6350	29461.0000	34171.0000	18144.0000	18883.0000	66.0000	26.0000	8.0000	40.0000
4.6400	29085.0000	34105.0000	18626.0000	18664.0000	43.0000	27.0000	9.0000	49.0000
4.6450	29534.0000	34398.0000	18540.0000	18551.0000	35.0000	21.0000	0.0000	34.0000
4.6500	29232.0000	34239.0000	19263.0000	19160.0000	58.0000	22.0000	8.0000	42.0000
4.6550	29515.0000	34058.0000	18457.0000	18911.0000	42.0000	22.0000	10.0000	41.0000
4.6600	29183.0000	33934.0000	18678.0000	18540.0000	31.0000	19.0000	7.0000	25.0000
4.6650	29307.0000	33864.0000	18486.0000	18476.0000	66.0000	31.0000	11.0000	34.0000
4.6700	29550.0000	34372.0000	18375.0000	18527.0000	44.0000	21.0000	5.0000	44.0000
4.6750	29776.0000	34649.0000	18641.0000	18837.0000	39.0000	30.0000	4.0000	53.0000
4.6800	29589.0000	34156.0000	18886.0000	18537.0000	66.0000	30.0000	6.0000	35.0000
4.6850	29522.0000	34505.0000	18150.0000	18751.0000	47.0000	22.0000	3.0000	31.0000
4.6900	29569.0000	34148.0000	18285.0000	19017.0000	33.0000	20.0000	11.0000	36.0000
4.6950	29651.0000	34669.0000	19192.0000	17996.0000	59.0000	32.0000	14.0000	30.0000
